date_meeting,date_announcement,rate,is_scheduled,rate_change,date_effective,comments
2017-09-05,2017-09-05 14:30:00+10:00,1.5,True,0.0,2017-09-06,
2017-10-03,2017-10-03 14:30:00+11:00,1.5,True,0.0,2017-10-04,
2017-11-07,2017-11-07 14:30:00+11:00,1.5,True,0.0,2017-11-08,
2017-12-05,2017-12-05 14:30:00+11:00,1.5,True,0.0,2017-12-06,
2018-02-06,2018-02-06 14:30:00+11:00,1.5,True,0.0,2018-02-07,
2018-03-06,2018-03-06 14:30:00+11:00,1.5,True,0.0,2018-03-07,
2018-04-03,2018-04-03 14:30:00+10:00,1.5,True,0.0,2018-04-04,
2018-05-01,2018-05-01 14:30:00+10:00,1.5,True,0.0,2018-05-02,
2018-06-05,2018-06-05 14:30:00+10:00,1.5,True,0.0,2018-06-06,
2018-07-03,2018-07-03 14:30:00+10:00,1.5,True,0.0,2018-07-04,
2018-08-07,2018-08-07 14:30:00+10:00,1.5,True,0.0,2018-08-08,
2018-09-04,2018-09-04 14:30:00+10:00,1.5,True,0.0,2018-09-05,
2018-10-02,2018-10-02 14:30:00+10:00,1.5,True,0.0,2018-10-03,
2018-11-06,2018-11-06 14:30:00+11:00,1.5,True,0.0,2018-11-07,
2018-12-04,2018-12-04 14:30:00+11:00,1.5,True,0.0,2018-12-05,
2019-02-05,2019-02-05 14:30:00+11:00,1.5,True,0.0,2019-02-06,
2019-03-05,2019-03-05 14:30:00+11:00,1.5,True,0.0,2019-03-06,
2019-04-02,2019-04-02 14:30:00+11:00,1.5,True,0.0,2019-04-03,
2019-05-07,2019-05-07 14:30:00+10:00,1.5,True,0.0,2019-05-08,
